title,description
Anelka: Misunderstood,"Inscrutable, incomparable or both? Famed French footballer Nicolas Anelka’s controversial legacy is explored in this in-depth documentary."
Lifechanger,"A shapeshifter has to kill, then inhabit his victims, or die. But as his need for new bodies speeds up, he finally faces down his own mortality."
I Lost My Body,"Romance, mystery and adventure intertwine as a young man falls in love and a severed hand scours Paris for its owner in this mesmerizing animated film."
Horns,"Accused of murder, Ig Perish wakes up one day to find he's grown a set of horns – compelling people to confess their sins to him."
Mike Birbiglia: Thank God for Jokes,"Comedian Mike Birbiglia takes the stage in Brooklyn and hits on hard truths about puppets, late people and the very real dangers of being funny."
Banyuki,"In this stage performance filmed for the big screen, an innocent man seeks revenge after breaking free of the prison he was held in for ten years."
Tortilla Soup,Widower Martin is a restaurateur with a booming business and three headstrong daughters who leave the house to pursue their individual destinies.
The Texas Chainsaw Massacre,"When some friends visit a vandalized graveyard, they come upon a chainsaw-wielding maniac, and it's a fight to the bloody death between good and evil."
Wave of Cinema: 90's Generation,"Walk down memory lane and experience the soundtrack to beloved film ""Generasi 90an: Melankolia"" through nostalgic performances."
Ralph Breaks the Internet: Wreck-It Ralph 2,"When video-game bad guy Ralph and best friend Vanellope discover a way onto the internet, they set off on a mission to save her broken game."
Boomika (Telugu),"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
Bibi & Tina II,"When robbers hit Falkenstein castle, teen witch Bibi and pal Tina hunt for the crooks, then devise a plan to save the neighbors' failing ranch."
Brother in Love,"A robbery leaves a proprietor penniless before his wedding, but becoming a son-in-law to a second family might be the financial solution he needs."
Cross: Rise of the Villains,"Armed with a mighty ancient amulet, a team of weapons experts joins forces to defend Los Angeles from supervillains with explosive powers of their own."
Skydancers,Only a few women pilots take part in the sport of aerobatics. Director Fredric Lean captures their powerful spirit at the World Aerobatic Championships.
Madam Secretary,"When a highly capable woman becomes secretary of state, she struggles to find balance between the demands of world politics and those of her family."
The Lovers,"On the verge of divorce, a middle-aged couple, each involved in a serious affair, rethink their marriage and the meaning of love and fidelity."
Diana: 7 Days That Shook the World,"This illuminating documentary examines the aftermath of Princess Diana’s tragic death and the tense, dramatic week leading up to her funeral."
She-Ra and the Princesses of Power,"Soldier Adora finds a magic sword – and her identity as legendary hero She-Ra. She joins the Rebellion, but her best friend stays with the evil Horde."
Queen of the South,"Forced to work for a cartel that recently killed her boyfriend, Teresa relies on her street smarts, a loyal pal and a mysterious notebook to survive."
My Fair Lady,"When a Cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives."
Dragons: Rescue Riders,"Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way."
Eddie - Strongman,British strongman Eddie Hall wants to be the strongest man in the world. This documentary reveals the grueling life choices that fuel his obsession.
Kill Me If You Dare,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part."
Valor,"Following an unsuccessful mission in Somalia, the two surviving members of a U.S. Army helicopter crew are embroiled in an unseemly conspiracy."
100% Halal,"After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid."
Monty Python's Flying Circus,"The Monty Python players make their mark with a winning mix of wit, ingenuity and brilliant timing – and a penchant for mockery and cross-dressing."
The Hurricane Heist,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.
Chill with Bob Ross,Iconic artist and master of relaxation Bob Ross demonstrates the process of creating wintry scenes in these episodes dedicated to the season.
Boy and the World,"Young Cuca leaves his idyllic village on a grand adventure to find his father, who has traveled to the city seeking work."
Giving Voice,"Six ambitious student actors audition for the prestigious August Wilson Monologue Competition, culminating in a riveting final round on Broadway."
Villain,"Fresh out of prison, an ex-con tries to save his debt-ridden brother and the family pub until local mobsters draw him back to a criminal underworld."
Nailed It! Spain,"On this competition show, novice bakers try to avoid a fiasco while duplicating stunning sweets. At stake are a trophy and 5,000 euros."
Sniper: Legacy,"When a troubled sniper begins killing officers he blames for a bungled mission, elite marksman Brandon Beckett sets out to neutralize the threat."
Pajanimals,"From the comfort of their bedroom, the Pajanimals puppets explore a larger world through imaginary adventures, accompanied by friendships and songs."
Frozen Planet,Go on a journey through the Arctic and Antarctic with this visually stunning program that explores these wildernesses and their inhabitants.
Sam Kinison: Breaking the Rules,"The one-time preacher shakes and shudders as he tears into subjects including sex, marriage, religion, drugs and famine in this HBO special."
Love Rain,"A story of two couples' journey of new love, loss and unexpected reunion spans decades, from the 1970s through present day."
